,구분,총계,"2015년 이전
설치된 CCTV",2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년
,계,"99,515 ","8,759 ","5,725 ","8,537 ","10,770 ","10,619 ","12,855 ","11,525 ","9,358 ","9,379 ","11,988 "
1,종로구,"2,031 ",549 ,158 ,128 ,143 ,142 ,67 ,237 ,82 ,225 ,300 
2,중 구,"2,718 ",275 ,236 ,239 ,372 ,386 ,155 ,364 ,419 ,137 ,135 
3,용산구,"3,258 ",88 ,38 ,295 ,491 ,147 ,335 ,473 ,486 ,500 ,405 
4,성동구,"4,409 ",190 ,352 ,278 ,939 ,457 ,640 ,483 ,366 ,233 ,471 
5,광진구,"3,828 ",309 ,95 ,42 ,666 ,460 ,712 ,191 ,740 ,273 ,340 
6,동대문구,"3,268 ",8 ,70 ,749 ,670 ,199 ,215 ,229 ,226 ,317 ,585 
7,중랑구,"4,512 ",334 ,145 ,153 ,170 ,215 ,"1,074 ",976 ,507 ,294 ,644 
8,성북구,"4,578 ",281 ,294 ,572 ,448 ,850 ,713 ,226 ,418 ,355 ,421 
9,강북구,"3,331 ",37 ,68 ,210 ,4 ,375 ,963 ,569 ,298 ,797 ,10 
10,도봉구,"2,378 ",3 ,,68 ,80 ,152 ,149 ,156 ,552 ,557 ,661 
11,노원구,"3,006 ",156 ,466 ,310 ,162 ,208 ,311 ,382 ,213 ,161 ,637 
12,은평구,"5,027 ",524 ,317 ,493 ,361 ,579 ,979 ,386 ,520 ,481 ,387 
13,서대문구,"3,793 ","1,126 ",109 ,277 ,416 ,246 ,325 ,441 ,331 ,174 ,348 
14,마포구,"3,155 ",111 ,146 ,446 ,368 ,368 ,494 ,298 ,177 ,124 ,623 
15,양천구,"4,447 ",4 ,216 ,418 ,566 ,827 ,321 ,352 ,347 ,386 ,"1,010 "
16,강서구,"3,546 ",303 ,192 ,167 ,416 ,259 ,457 ,362 ,441 ,596 ,353 
17,구로구,"5,003 ",406 ,248 ,340 ,543 ,531 ,781 ,652 ,685 ,339 ,478 
18,금천구,"3,169 ",,92 ,130 ,196 ,539 ,366 ,514 ,207 ,304 ,821 
19,영등포구,"4,566 ","1,054 ",209 ,248 ,311 ,657 ,65 ,"1,214 ",283 ,341 ,184 
20,동작구,"3,024 ",534 ,124 ,245 ,270 ,299 ,312 ,433 ,28 ,372 ,407 
21,관악구,"5,772 ",774 ,447 ,607 ,675 ,663 ,889 ,404 ,549 ,135 ,629 
22,서초구,"5,395 ",227 ,552 ,514 ,"1,022 ",422 ,339 ,419 ,565 ,878 ,457 
23,강남구,"7,721 ",672 ,814 ,"1,280 ",981 ,735 ,787 ,913 ,505 ,588 ,446 
24,송파구,"4,031 ",223 ,183 ,126 ,227 ,526 ,"1,050 ",237 ,151 ,431 ,877 
25,강동구,"3,549 ",571 ,154 ,202 ,273 ,377 ,356 ,614 ,262 ,381 ,359 
